# 
# Header Description:
# 
# Version: v3.10.5 (24099-google), Manufacturer: Google, Model: Pixel 7 Pro, GNSS HW Year: 2020, Platform: 16, API Level: 36 
# 
# Raw GNSS measurements format:
#   Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# Location fix format:
#   Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation
# 
# Navigation message format:
#   Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# NMEA format (for [NMEA sentence] format see https://en.wikipedia.org/wiki/NMEA_0183):
#   NMEA,[NMEA sentence],(UTC)TimeInMs
# 
# GnssAntennaInfo format (https://developer.android.com/reference/android/location/GnssAntennaInfo):
#   GnssAntennaInfo,CarrierFrequencyMHz,PhaseCenterOffsetXOffsetMm,PhaseCenterOffsetXOffsetUncertaintyMm,PhaseCenterOffsetYOffsetMm,PhaseCenterOffsetYOffsetUncertaintyMm,PhaseCenterOffsetZOffsetMm,PhaseCenterOffsetZOffsetUncertaintyMm,PhaseCenterVariationCorrectionsArray,PhaseCenterVariationCorrectionUncertaintiesArray,PhaseCenterVariationCorrectionsDeltaPhi,PhaseCenterVariationCorrectionsDeltaTheta,SignalGainCorrectionsArray,SignalGainCorrectionUncertaintiesArray,SignalGainCorrectionsDeltaPhi,SignalGainCorrectionsDeltaTheta
# 
# GnssStatus format (https://developer.android.com/reference/android/location/GnssStatus):
#   Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# Orientation sensor format (https://developer.android.com/reference/android/hardware/SensorEvent#values):
#   OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
OrientationDeg,1769688663454,519437021916951,91.32811771206565,-15.857820950747854,-1.7329265679116626
OrientationDeg,1769688663463,519437030186158,91.3258979005854,-15.867004140086937,-1.7513204807899185
OrientationDeg,1769688663471,519437038456003,91.32378054194271,-15.875823621852716,-1.770149284619234
OrientationDeg,1769688663479,519437046721099,91.31875352271356,-15.882488178935356,-1.787629873139412
OrientationDeg,1769688663487,519437054997943,91.31014748435933,-15.886528235829418,-1.8024847875322494
OrientationDeg,1769688663496,519437063274341,91.2982902759602,-15.888351896337811,-1.8133492706242125
OrientationDeg,1769688663504,519437071539761,91.28595495431915,-15.88813333028437,-1.8212223443031215
OrientationDeg,1769688663512,519437079810432,91.27413872705506,-15.887658632137056,-1.8288390724447436
OrientationDeg,1769688663521,519437088081459,91.264617443352,-15.887168566064107,-1.8388679245804378
OrientationDeg,1769688663529,519437096341131,91.25759600888523,-15.88685779245687,-1.849794946591989
OrientationDeg,1769688663537,519437104623540,91.25315638592474,-15.887549349110335,-1.8598124862268703
OrientationDeg,1769688663545,519437112893965,91.25021940458163,-15.888824886937835,-1.8696140211292502
OrientationDeg,1769688663554,519437121165267,91.24574563067529,-15.890558047439725,-1.8794778815078066
OrientationDeg,1769688663562,519437129435824,91.2398443472324,-15.892473915501913,-1.890808951897446
OrientationDeg,1769688663570,519437137704288,91.23366985622272,-15.893669198606666,-1.9038823608556736
OrientationDeg,1769688663578,519437145977937,91.22963321442319,-15.894961811907091,-1.9169184172168776
OrientationDeg,1769688663587,519437154252351,91.22676453497184,-15.896346632761311,-1.9284575949327911
OrientationDeg,1769688663595,519437162520295,91.22358166681857,-15.896694972408982,-1.9371323620655303
OrientationDeg,1769688663603,519437170776213,91.21921717593898,-15.895079632670274,-1.9440899769522462
OrientationDeg,1769688663612,519437179057982,91.21447019446578,-15.892007755091061,-1.9500866696001058
OrientationDeg,1769688663620,519437187332437,91.21024913755872,-15.886142330141313,-1.9540722984242198
OrientationDeg,1769688663628,519437195606292,91.20867136386045,-15.878683763567658,-1.9548276746577409
OrientationDeg,1769688663635,519437203873798,91.21022181680206,-15.870535347887833,-1.9532678302060393
OrientationDeg,1769688663645,519437212144874,91.21515321338279,-15.862694290720658,-1.953094087269027
OrientationDeg,1769688663653,519437220413387,91.22261861014562,-15.856441252535511,-1.955299811484118
OrientationDeg,1769688663661,519437228675075,91.23201012025436,-15.853347176841496,-1.9584566395411334
OrientationDeg,1769688663669,519437236946690,91.24162019641659,-15.853087629653036,-1.9628557082534446
OrientationDeg,1769688663678,519437245228226,91.25033551779757,-15.85591532796942,-1.9675245694379715
OrientationDeg,1769688663686,519437253499496,91.25762332964194,-15.861135300042603,-1.9705902571582494
OrientationDeg,1769688663694,519437261770267,91.26319676400465,-15.868616064731059,-1.9707996451449927
